Studio,Genre,Film,Gross
Disney,Animation,WALL-E,521.31
Disney,Action,The Chronicles of Narnia: Prince Caspian,419.67
Disney,Comedy,Bedtime Stories,212.87
Disney,Animation,Bolt,309.98
Disney,Adventure,Beverly Hills Chihuahua,149.28
Disney,Comedy,High School Musical 3: Senior Year,252.91
Disney,Drama,Step Up 2: The Streets,150.82
Disney,Comedy,Swing Vote,17.63
Disney,Action,Miracle at St. Anna,9.32
Fox,Animation,Dr. Seuss' Horton Hears a Who!,297.14
Fox,Comedy,Marley and Me,242.72
Fox,Comedy,What Happens in Vegas,219.38
Fox,Action,Jumper,222.23
Fox,Comedy,27 Dresses,160.26
Fox,Thriller,The Day the Earth Stood Still,233.09
Fox,Thriller,The Happening,163.4
Fox,Adventure,Australia,211.34
Fox,Action,Max Payne,85.42
Fox,Drama,The Secret Life of Bees,39.95
Fox,Action,Street Kings,65.57
Fox,Horror,Shutter,47.88
Fox,Action,Babylon A.D.,72.11
Fox,Thriller,The X-Files: I Want to Believe,68.37
Fox,Adventure,Meet Dave,50.65
Independent,Others,Slumdog Millionaire,377.91
Independent,Comedy,Forgetting Sarah Marshall,105.17
Independent,Comedy,Baby Mama,64.16
Independent,Others,Saw V,113.86
Independent,Adventure,Nim's Island,100.08
Independent,Horror,Prom Night,57.2
Independent,Drama,Tyler Perry's Meet the Browns,41.98
Independent,Comedy,Meet the Spartans,84.65
Independent,Drama,Tyler Perry's The Family That Preys,37.11
Independent,Drama,Changeling,113.02
Independent,Animation,Star Wars: The Clone Wars,68.28
Independent,Drama,Fireproof,33.47
Independent,Action,Transporter 3,108.98
Independent,Horror,Mirrors,77.49
Independent,Thriller,The Bank Job,64.82
Independent,Thriller,Untraceable,52.66
Independent,Drama,The Other Boleyn Girl,77.71
Independent,Comedy,Mad Money,26.41
Independent,Animation,Igor,30.75
Independent,Drama,Doubt,50.91
Independent,Horror,The Haunting of Molly Hartley,15.42
Independent,Drama,Rachel Getting Married,16.62
Independent,Comedy,Miss Pettigrew Lives for a Day,16.72
Independent,Comedy,The Longshots,11.77
Independent,Others,The Express,9.81
Independent,Comedy,Smart People,11.84
Independent,Drama,The Visitor,18.08
Independent,Drama,The Boy in the Striped Pyjamas,40.42
Independent,Adventure,City of Ember,17.93
Independent,Others,Expelled: No Intelligence Allowed,7.72
Independent,Animation,Space Chimps,64.83
MGM,Action,Quantum of Solace,586.09
MGM,Thriller,Valkyrie,200.28
Other Studios,Adventure,College Road Trip,51.55
Other Studios,Others,In Bruges,33.39
Other Studios,Thriller,Traitor,27.66
Other Studios,Action,Rambo,113.24
