Studio,Color,Genre,Color,Film - 2011,Color,Film - 2010,Color,Film - 2009,Color,Film - 2008,Color,300,Color
Aardman Animations,#1f77b4,Action,#EBEB99,30 Minutes or Less,#FFF0FF,127 Hours,,9,,21,,3:10 to Yuma,
Buena Vista,#aec7e8,Adventure,#E6E6E6,50/50,#FFF0FF,A Nightmare on Elm Street,,2012,,"10,000 B.C.",,30 Days of Night,
CBS,#ff7f0e,Animation,#CCCCCC,A Dangerous Method,#FFF0FF,Alice in Wonderland,,(500) Days of Summer,,27 Dresses,,Across the Universe,
Columbia,#ffbb78,Biography,#B2B2B2,A Very Harold and Kumar Christmas,#FFF0FF,All About Steve,,12 Rounds,,88 Minutes,,Alien vs. Predator -- Requiem,
Crest,#2ca02c,Biopic,#B2B2B2,Abduction,#FFF0FF,Alpha and Omega,,17 Again,,Appaloosa,,Alvin and the Chipmunks,
Disney,#98df8a,Comedy,#999999,Anonymous,#FFF0FF,Black Swan,,A Christmas Carol,,Australia,,American Gangster,
DreamWorks,#d62728,Crime,#808080,Another Earth,#FFF0FF,Brooklyn's Finest,,A Perfect Getaway,,Baby Mama,,Bee Movie,
Focus,#ff9896,Documentary,#666666,Apollo 18,#FFF0FF,Buried,,A Serious Man,,Babylon A.D.,,Beowulf,
Fox,#9467bd,Drama,#4D4D4D,Arthur,#FFF0FF,Burlesque,,Adventureland,,Bangkok Dangerous,,Blades of Glory,
Happy Madison,#c5b0d5,Fantasy,#333333,Arthur Christmas,#FFF0FF,Case 39,,Aliens in the Attic,,"Be Kind, Rewind",,Charlie Wilson's War,
Highlight Communications,#8c564b,Horror,#FFFFB2,Bad Teacher,#FFF0FF,Cats & Dogs: The Revenge of Kitty Galore,,All About Steve,,Bedtime Stories,,Daddy Day Camp,
Independent,#c49c94,Musical,#FFFF66,Battle: Los Angeles,#FFD1FF,Charlie St. Cloud,,Alvin and the Chipmunks: The Squeakquel,,Beverly Hills Chihuahua,,Disturbia,
Legendary Pictures,#e377c2,Mystery,#FFFF19,Beastly,#FFD1FF,City Island,,Amelia,,Body of Lies,,Dragon Wars (aka D-War),
Liberty Starz,#f7b6d2,Romance,#B2B200,Beginners,#FFD1FF,Clash of the Titans,,An Education,,Bolt,,Enchanted,
Lionsgate,#7f7f7f,Sci-Fi,#808000,Bridesmaids,#FFD1FF,Conviction,,Angels & Demons,,Burn After Reading,,Epic Movie,
Mediaplex,#c7c7c7,Thriller,#4C4C00,Captain America: The First Avenger,#FFD1FF,Cop Out,,Armored,,Cadillac Records,,Evan Almighty,
MGM,#bcbd22,Western,#1A1A00,Cars 2,#FFD1FF,Country Strong,,Astro Boy,,Changeling,,Fantastic Four: Rise of the Silver Surfer,
Miramax,#dbdb8d,,,Cedar Rapids,#FFD1FF,Cyrus,,Avatar,,City of Ember,,Film,
Morgan Creek Productions,#17becf,,,Colombiana,#FFD1FF,Date Night,,Away We Go,,Cloverfield,,Ghost Rider,
New Line,#9edae5,,,Conan the Barbarian,#FFD1FF,Daybreakers,,Bandslam,,College Road Trip,,Good Luck Chuck,
New Line Cinema,#9edae5,,,Contagion,#FFD1FF,Dear John,,Bride Wars,,Death Race,,Grindhouse,
Overture,#393b79,,,Cowboys and Aliens,#FFD1FF,Death at a Funeral,,Brothers,,"Definitely, Maybe",,Hairspray,
Paramount,#5254a3,,,"Crazy, Stupid, Love",#FFD1FF,Despicable Me,,Bruno,,Disaster Movie,,Halloween,
