Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,Domestic Gross,Foreign Gross,worldwide,Budget,budget
,,,,,,,($),($m),($m),($m),,% of budget recovered,,,,all boxofficemojo.com except otherwise stated,,($m),($m),($m),($m),($m),($m),
Average,,47,58,,,,,,,136.34,48.49,281.19%,19.72,,,,,61.06,74.63,,,,,
The Dark Knight,Warner Bros.,94,96,Revenge,Thriller,4366,36283,534.86,469.70,"1,004.56",185.00,543.00%,158.4,Supporting Actor,Supporting Actor,,,530.92,468.58,530917814,,996.9,185000000,185
Iron Man,Paramount,94,91,Metamorphosis,Action,4105,24024,318.76,266.76,585.52,186.00,314.80%,98.62,,,,,318.31,266.76,318313199,,581.9,186000000,186
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Pursuit,Action,4260,23507,317.10,469.53,786.64,185.00,425.21%,100.1,,,,,317.02,469.53,317023851,,786.6,185000000,185
Hancock,Sony,40,67,Discovery,Action,3965,15789,227.95,396.44,624.39,150.00,416.26%,62.6,,,,,227.95,396.44,227946274,,624.4,150000000,150
WALL-E,Disney,96,89,love,Animation,3992,15803,223.81,297.50,521.31,180.00,289.62%,63.09,Animated,Animated,http://boxofficemojo.com/movies/?id=wall-e.htm,,223.78,297.50,223783432,,507.3,180000000,180
Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,14642,215.43,416.31,631.74,200.00,315.87%,60.24,,,,,215.43,416.31,215434591,,631.9,200000000,200
Madagascar: Escape 2 Africa,Paramount,64,73,Journey and Return,Animation,4056,15559,180.01,423.89,603.90,150.00,402.60%,63.11,,,,,176.93,423.89,176934000,,462.3,150000000,150
Twilight,Summit,49,82,Love,Romance,3419,20368,192.77,199.85,392.62,37.00,1061.12%,69.64,,,,,176.82,199.85,176815000,,246.5,37000000,37
Quantum of Solace,MGM,64,62,Revenge,Action,3451,19568,168.37,417.72,586.09,230.00,254.82%,67.5,,,http://www.the-numbers.com/movies/2008/JB22.php,,166.80,417.72,166800000,,567,230000000,230
Dr. Seuss' Horton Hears a Who!,Fox,79,75,rescue,Animation,3954,11384,154.53,142.61,297.14,85.00,349.57%,45,,,,,154.53,142.60,154529439,,297,85000000,85
Sex and the City,Warner Bros.,49,81,love,Comedy,3285,17363,152.65,262.61,415.25,57.50,722.18%,57.04,,,,,152.65,262.61,152647258,,415.1,57500000,57.5
Gran Torino,Warner Bros.,80,90,Temptation,Drama,,,148.10,121.86,269.96,33.00,818.05%,29.48,,,http://boxofficemojo.com/movies/?id=grantorino.htm,,148.10,121.86,9700000,,,167000000,167
Mamma Mia!,Universal,53,76,Love,Comedy,2976,9325,144.13,465.71,609.84,66.00,924.00%,27.75,,,,,143.76,465.71,143762955,,572.2,66000000,66
The Chronicles of Narnia: Prince Caspian,Disney,66,78,fish out of water,Action,3929,14007,141.62,278.04,419.67,200.00,209.83%,55.03,,,,,141.62,278.04,141621490,,419.6,200000000,200
Slumdog Millionaire,Independent,94,90,Underdog,Crime,,,141.32,236.59,377.91,15.00,2519.39%,4.3,"Best Picture, Director, Adapted Screenplay","Best Film, Director, Adapted Screenplay",,,141.31,234.48,101890000,,198,15000000,15
The Incredible Hulk,Universal,67,75,Metamorphosis,Action,3505,15810,134.81,128.62,263.43,137.50,191.58%,55.14,,,,,134.53,128.62,134533885,,262.5,137500000,137.5
Wanted,Universal,73,72,Transformation,Action,3175,16040,134.51,206.92,341.43,75.00,455.24%,50.93,,,http://boxofficemojo.com/movies/?id=wanted.htm,,134.33,206.92,134327125,,342.1,75000000,75
Get Smart,Warner Bros.,51,73,Pursuit,Action,3911,9891,130.32,100.37,230.69,80.00,288.36%,38.7,,,,,130.32,100.37,130319208,,230.5,80000000,80
Four Christmases,Warner Bros.,26,52,love,Comedy,,,120.15,43.59,163.73,80.00,204.67%,31.07,,,,,118.25,43.58,118254000,,149.6,80000000,80
Tropic Thunder,Paramount,83,69,fish out of water,Comedy,3319,7777,110.52,77.56,188.07,90.00,208.97%,25.81,,,,,110.46,77.58,110461307,,188,90000000,90
Bedtime Stories,Disney,25,63,rivalry,Comedy,3681,7457,110.10,102.77,212.87,80.00,266.09%,27.5,,,http://www.the-numbers.com/movies/2008/BEDTM.php,,110.10,108.25,85351000,,85.4,80000000,80
Bolt,Disney,89,76,rescue,Animation,3651,7182,114.05,195.93,309.98,150.00,206.65%,26.2,,,,,109.90,195.93,109897000,,289.3,150000000,150
Marley and Me,Fox,63,77,love,Comedy,3480,10448,143.15,99.56,242.72,55.00,441.30%,36.36,,,,,106.51,99.56,106510000,,111.8,55000000,55
The Mummy: Tomb of the Dragon Emperor,Universal,14,40,Quest,Action,3760,10760,102.49,298.64,401.13,145.00,276.64%,40.5,,,http://boxofficemojo.com/movies/?id=mummy3.htm,,102.28,298.63,102277510,,393.2,175000000,175
Journey to the Center of the Earth,Warner Bros.,61,55,Quest,Action,2811,7477,101.70,140.29,241.99,45.00,537.76%,21,,,,,101.70,140.29,101704370,,220.7,45000000,45
Eagle Eye,Paramount,27,72,pursuit,Action,3510,8305,101.44,76.63,178.07,80.00,222.58%,29.2,,,,,101.18,76.62,101176114,,175.9,80000000,80
Step Brothers,Sony,54,68,Comedy,Comedy,3094,10000,100.47,27.64,128.11,65.00,197.09%,30.94,,,,,100.47,27.64,100468793,,128,65000000,65
You Don't Mess with the Zohan,Sony,36,50,fish out of water,Comedy,3462,11130,100.02,99.92,199.94,80.00,249.92%,38.53,,,http://boxofficemojo.com/movies/?id=youdontmesswiththezohan.htm,,100.02,99.91,100018837,,201.8,80000000,80
Yes Man,Warner Bros.,43,72,Transformation,Comedy,3434,5318,97.69,125.55,223.24,70.00,318.91%,18.26,,,http://boxofficemojo.com/movies/?id=yesman.htm,,97.69,125.55,79413000,,113.4,50000000,50
"10,000 B.C.",Warner Bros.,9,44,Rescue,Adventure,3410,10518,94.78,175.00,269.78,105.00,256.94%,35.9,,,,,94.78,175.00,94784201,,269.1,105000000,105
Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,9114,94.51,54.77,149.28,20.00,746.41%,29.3,,,http://www.the-numbers.com/movies/2008/BHCHI.php,,94.50,50.70,93118082,,116,20000000,20
High School Musical 3: Senior Year,Disney,65,76,love,Comedy,3623,11601,90.56,162.35,252.91,11.00,2299.16%,42.03,,,,,89.70,162.35,89695501,,240.7,11000000,11
Pineapple Express,Sony,68,74,Comedy,Action,3072,7567,87.34,14.28,101.62,26.00,390.86%,23.2,,,,,87.34,14.28,87341380,,101.5,26000000,26
Valkyrie,MGM,58,66,Sacrifice,Thriller,2711,7756,83.08,117.20,200.28,75.00,267.03%,21.03,,,http://boxofficemojo.com/movies/?id=valkyrie.htm,,83.08,117.20,"$83,077,833",,184,75000000,75
21,Sony,35,73,quest,Crime,2648,9103,81.16,76.77,157.93,35.00,451.22%,24.1,,,http://www.the-numbers.com/movies/2008/21.php,,81.16,76.69,81159365,76693167,157.9,35000000,35
What Happens in Vegas,Fox,28,72,Love,Comedy,3215,6274,80.28,139.10,219.38,35.00,626.79%,20.17,,,http://boxofficemojo.com/movies/?id=whathappensinvegas.htm,,80.28,139.09,80277646,,219.3,150000000,150
Jumper,Fox,16,50,Rescue,Action,3428,7980,80.17,142.06,222.23,82.50,269.37%,27.4,,,,,80.17,142.06,80172128,,222.2,82500000,82.5
Cloverfield,Paramount,77,67,Monster Force,Action,3411,11744,80.05,90.72,170.76,25.00,683.05%,40.1,,,,,80.05,90.72,80048433,,170.8,25000000,25
The Curious Case of Benjamin Button,Warner Bros.,73,81,love,Fantasy,2988,8987,127.51,206.42,333.93,160.00,208.71%,26.85,,,,,79.01,206.42,79011000,,322,160000000,160
27 Dresses,Fox,40,71,Love,Comedy,3057,7526,76.81,83.45,160.26,30.00,534.19%,23.01,,,,,76.81,83.50,76808654,,160.3,30000000,30
Hellboy II: The Golden Army,Universal,87,70,sacrifice,Action,3204,10780,75.99,84.40,160.39,82.50,194.41%,34.5,,,,,75.79,84.40,75791785,,158.9,82500000,82.5
The Day the Earth Stood Still,Fox,19,34,Sacrifice,Thriller,3560,8562,79.37,153.73,233.09,100.00,233.09%,30.5,,,,,74.30,153.73,74299000,,230,100000000,100
Vantage Point,Sony,35,61,The Riddle,,3149,7264,72.27,78.90,151.16,40.00,377.90%,22.87,,,http://boxofficemojo.com/movies/?id=vantagepoint.htm,,72.27,78.89,72266306,,151.2,40000000,40
The Spiderwick Chronicles,Paramount,79,67,fish out of water,Fantasy,3847,4940,71.20,91.64,162.84,92.50,176.04%,19,,,,,71.20,91.64,71195053,,162.8,92500000,92.5
Fool's Gold,Warner Bros.,11,53,Quest,Adventure,3125,6909,70.23,41.00,111.23,72.50,153.42%,21.6,,,,,70.23,39.13,70231041,,110.6,72500000,72.5
Role Models,Universal,77,75,Discovery,Comedy,2792,6865,67.29,25.09,92.38,28.00,329.93%,19.17,,,,,66.69,25.09,66688000,,66.7,28000000,28
The Happening,Fox,19,29,escape,Thriller,2986,10220,64.51,98.90,163.40,48.00,340.42%,30.52,,,http://boxofficemojo.com/movies/?id=happening.htm,,64.51,98.89,64506874,,163.4,60000000,48
Forgetting Sarah Marshall,Independent,85,75,maturation,Comedy,2798,6791,63.17,42.00,105.17,30.00,350.57%,17.73,,,,,62.93,42.00,62932375,,104.8,30000000,30
Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,7215,60.36,103.36,163.72,37.00,442.48%,19.13,,,,,60.36,103.36,60355347,,154.8,37000000,37
Baby Mama,Independent,63,59,Discovery,Comedy,2543,6845,60.49,3.67,64.16,70.00,91.66%,17.41,,,,,60.32,3.70,60321790,,63.9,70000000,70
Seven Pounds,Sony,27,77,Sacrifice,Drama,2758,5385,69.95,98.22,168.17,55.00,305.76%,14.9,,,http://boxofficemojo.com/movies/?id=sevenpounds.htm,,60.04,98.21,60038000,,61.4,55000000,55
Step Up 2: The Streets,Disney,26,81,underdog,Drama,2470,7655,58.02,92.80,150.82,17.50,861.80%,18.91,,,,,58.02,92.80,58017783,,148.2,17500000,17.5
Saw V,Independent,13,63,Monster Force,Crime,3030,9822,56.75,57.12,113.86,10.80,1054.29%,30.1,,,,,56.75,57.12,56746769,,103.6,10800000,10.8
The Strangers,Relativity Media,44,48,Escape,Horror,2466,8515,52.60,29.79,82.39,9.00,915.44%,20.99,,,,,52.60,29.79,52597610,,77.6,9000000,9
The Forbidden Kingdom,Relativity Media,64,65,journey & return,Action,3151,6791,52.08,75.90,127.98,55.00,232.69%,21.4,,,,,52.08,75.90,52075270,,128.8,55000000,55
The Tale of Despereaux,Universal,54,46,Rescue,Animation,3104,3255,50.88,36.07,86.95,55.00,158.09%,10.1,,,,,50.87,37.84,43742000,,,55000000,55
