Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,,,,,,
,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,,
Average,,49,58,,,"2,683","8,296",71.05,94.65,165,56,293.65%,22,,,,,,,,,
127 Hours,Independent,93,84,Escape,Adventure,916,2333,18.33,42.40,60.73,18,337.39%,2.13,,,http://boxofficemojo.com/movies/?id=127hours.htm,,,,,,
A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,3332,9875,63.08,52.59,115.67,35,330.49%,32.9,,,,,,,,,
Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,3728,31143,334.19,691.28,1025.466,200,512.73%,116.1,,,,,,,,,
All About Steve,Independent,6,35,Comedy,Comedy,2251,4994,33.86,6.26,40.12,15,267.47%,11.2,,,http://www.the-numbers.com/movies/2009/ABSTV.php,,,,,,
Alpha and Omega,Crest,17,41,Journey and Return,Animation,2625,3469,25.11,25.40,50.507,20,252.54%,9.1,,,,,,,,,
Black Swan,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.397,13,2533.82%,8.38,Best Actress,,,,,,,,
Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.16,9.28,36.439,17,214.35%,13.4,,,http://boxofficemojo.com/movies,,,,,,
Buried,Independent,86,63,Escape,Drama,11,9115,1.04,18.11,19.148,2,957.40%,0.103,,,http://boxofficemojo.com/movies,,,,,,
Burlesque,Paramount,36,66,Rags to Riches,Drama,3037,3934,39.44,50.08,89.519,55,162.76%,11.95,,,http://boxofficemojo.com/movies/?id=burlesque.htm,,,,,,
Case 39,Independent,23,42,Monster Force,Horror,2211,2420,13.26,14.93,28.19,26,108.42%,5.4,,,http://boxofficemojo.com/movies,,,,,,
Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,3705,3314,43.59,68.90,112.49,85,132.34%,12.3,,,http://boxofficemojo.com/movies,,,,,,
Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,2718,4555,31.16,17.03,48.188,44,109.52%,12.4,,,http://boxofficemojo.com/movies,,,,,,
City Island,Independent,81,77,Transformation,Comedy,2,16000,6.67,1.20,7.874,6,131.23%,0.032,,,http://boxofficemojo.com/movies,,,,,,
Clash of the Titans,Warner Bros.,28,48,Quest,Action,3777,16213,163.21,330.00,493.214,125,394.57%,61.2,,,http://boxofficemojo.com/movies,,,,,,
Conviction,Independent,68,71,Rescue,Biography,672,2424,6.79,2.92,9.71,12.5,77.68%,1.62,,,http://boxofficemojo.com/movies,,,,,,
Cop Out,Warner Bros.,19,45,The Riddle,Action,3150,5781,44.88,10.71,55.588,30,185.29%,18.21,,,http://boxofficemojo.com/movies,,,,,,
Country Strong,Sony,20,56,Rags to Riches,Drama,1424,5145,20.22,0.31,20.528,15,136.85%,7.33,,,,,,,,,
Cyrus,Independent,80,51,Rivalry,Comedy,4,45429,7.47,2.45,9.92,7,141.71%,0.18,,,http://boxofficemojo.com/movies,,,,,,
Date Night,Fox,66,58,Pursuit,Comedy,3374,7471,98.71,53.55,152.263,55,276.84%,25.2,,,http://boxofficemojo.com/movies,,,,,,
Daybreakers,Lionsgate,67,50,Discovery,Action,2523,6003,30.10,21.31,51.41,20,257.05%,15.1,,,,,,,,,
Dear John,Sony,29,66,Love,Drama,2969,10262,80.01,34.96,114.97,25,459.88%,30.4,,,,,,,,,
Death at a Funeral,Independent,40,48,Comedy,Comedy,2459,6595,42.74,6.31,49.05,21,233.57%,16.2,,,,,,,,,
Despicable Me,Universal,81,81,Maturation,Animation,3476,16225,251.51,291.60,543.113,69,787.12%,56.4,,,,,,,,,
Devil,Independent,52,45,Monster Force,Horror,2809,4375,33.60,29.09,62.694,10,626.94%,12.3,,,,,,,,,
Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64.00,11.70,75.7,15,504.67%,22.1,,,,,,,,,
Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,2911,8082,73.03,13.83,86.855,69,125.88%,23.5,,,,,,,,,
Due Date,Warner Bros.,40,56,Comedy,Comedy,3355,9743,100.54,111.24,211.78,50,423.56%,32.69,,,http://boxofficemojo.com/movies/?id=duedate.htm,,,,,,
Easy A,Sony,85,75,Maturation,Comedy,2856,6209,58.40,16.55,74.95,8,936.88%,17.7,,,,,,,,,
Eat Pray Love,Sony,36,46,Journey and Return,Drama,3082,7497,80.57,124.02,204.59,60,340.98%,23.1,,,,,,,,,
Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,3066,5615,43.31,37.81,81.12,80,101.40%,17.2,,,,,,,,,
Extraordinary Measures,CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.14,31,48.84%,6,,,,,,,,,
Faster,CBS,41,50,Revenge,Action,2454,3873,23.24,12.39,35.626,24,148.44%,8.52,,,,,,,,,
For Colored Girls,Independent,33,73,Discovery,Drama,2127,9167,37.73,17.32,55.049,21,262.14%,19.5,,,,,,,,,
From Paris with Love,Independent,38,57,Pursuit,Action,2722,2997,24.08,28.75,52.829,52,101.59%,8.2,,,,,,,,,
Furry Vengeance,Summit,8,36,Comedy,Comedy,2997,2211,17.63,18.61,36.236,35,103.53%,6.6,,,,,,,,,
Get Him to the Greek,Universal,73,63,Comedy,Comedy,2697,6515,60.97,30.29,91.257,40,228.14%,17.6,,,,,,,,,
Going the Distance,Warner Bros.,53,56,Love,Comedy,3030,2272,17.80,24.25,42.05,32,131.41%,6.9,,,,,,,,,
Green Zone,Universal,53,60,Quest,Action,3003,4765,35.05,59.83,94.878,100,94.88%,14.3,,,,,,,,,
Greenberg,Independent,75,40,Transformation,Comedy,3,39384,4.23,1.92,6.15,,,0.11,,,,,,,,,
