studio,genre,film,gross
Independent,Comedy,30 Minutes or Less,40.55
Independent,Comedy,50/50,39.19
Independent,Drama,A Dangerous Method,27.46
Lionsgate,Comedy,A Very Harold and Kumar Christmas,35.39
Vertigo Entertainment,Action,Abduction,82.09
Relativity Media,Drama,Anonymous,15.39
Independent,Fantasy,Another Earth,1.77
Weinstein Company,Horror,Apollo 18,25.56
Warner Bros,Comedy,Arthur,45.74
Aardman Animations,Animation,Arthur Christmas,147.41
Independent,Comedy,Bad Teacher,216.2
Relativity Media,Action,Battle: Los Angeles,211.82
CBS Films,Romance,Beastly,43.17
Independent,Comedy,Beginners,14.31
Relativity Media,Comedy,Bridesmaids,288.38
Disney,Action,Captain America: The First Avenger,370.57
Pixar,Animation,Cars 2,559.85
20th Century Fox,Comedy,Cedar Rapids,6.86
Sony,Action,Colombiana,60.97
Lionsgate,Action,Conan the Barbarian,48.8
Warner Bros,Thriller,Contagion,135.46
Universal,Action,Cowboys and Aliens,174.82
Warner Bros,Romance,"Crazy, Stupid, Love",142.85
20th Century Fox,Comedy,Diary of a Wimpy Kid 2: Rodrick Rules,72.42
Independent,Drama,Dolphin Tale,95.41
Miramax Films,Horror,Don't Be Afraid Of The Dark,36.99
Morgan Creek Productions,Horror,Dream House,38.5
Independent,Thriller,Drive,76.17
Independent,Action,Drive Angry,28.93
Independent,Horror,Dylan Dog: Dead of Night,4.63
Reliance Entertainment,Drama,Everything Must Go,2.71
Warner Bros.,Drama,Extremely Loud and Incredibly Close,55.247
Universal,Action,Fast Five,626.13
New Line Cinema,Horror,Final Destination 5,157.89
Spyglass Entertainment,Drama,Footloose,63.54
Warner Bros,Romance,Friends With Benefits,149.54
DreamWorks,Horror,Fright Night,41
Disney,Animation,Gnomeo and Juliet,193.97
Warner Bros,Action,Green Lantern,219.85
Warner Bros,Comedy,Hall Pass,83.16
Universal,Action,Hanna,63.78
Village Roadshow Pictures,Animation,Happy Feet 2,150.41
Warner Bros,Fantasy,Harry Potter and the Deathly Hallows Part 2,"1,341.51"
Relativity Media,Animation,Hop,183.95
Warner Bros,Comedy,Horrible Bosses,209.64
Paramount,Adventure,Hugo,185.769
Paramount,Thriller,I Am Number Four,149.88
Relativity Media,Action,Immortals,226.9
Regency Enterprises,Thriller,In Time,173.93
Sony,Horror,Insidious,97.01
Warner Bros,Drama,J.Edgar,84.61
Happy Madison,Comedy,Jack and Jill,149.68
Relativity Media,Comedy,Johnny English Reborn,160.08
Happy Madison,Romance,Just Go With It,214.95
Independent,Action,Killer Elite,56.38
DreamWorks Animation,Animation,Kung Fu Panda 2,665.69
Universal,Drama,Larry Crowne,72.01
Virgin,Thriller,Limitless,161.85
Lionsgate,Action,Machine Gun Preacher,1.1
Independent,Thriller,Margin Call,19.5
Disney,Animation,Mars Needs Moms,38.99
Sony,Romance,Midnight in Paris,151.12
Paramount,Action,Mission Impossible 4,694.71
Columbia,Drama,Moneyball,110.2
20th Century Fox,Romance,Monte Carlo,39.67
20th Century Fox,Comedy,Mr. Popper's Penguins,187.36
The Weinstein Company,Drama,My Week with Marilyn,35.06
Warner Bros.,Romance,New Year's Eve,142.04
Spyglass Entertainment,Comedy,No Strings Attached,149.23
Independent,Romance,One Day,59.39
The Weinstein Company,Comedy,Our Idiot Brother,24.82
Independent,Horror,Paranormal Activity 3,207.04
Relativity,Comedy,Paul,97.98
Disney,Action,"Pirates of the Caribbean:
On Stranger Tides","1,045.71"
Sony,Action,Priest,78.31
DreamWorks,Animation,Puss In Boots,554.99
Paramount,Animation,Rango,245.72
DreamWorks Pictures,Action,Real Steel,299.27
Warner Bros,Horror,Red Riding Hood,89.16
Independent,Horror,Red State,1.1
20th Century Fox,Animation,Rio,484.63
20th Century Fox,Action,Rise of the Planet of the Apes,481.74
Relativity Media,Action,Sanctum,108.61
Weinstein Company,Horror,Scream 4,97.14
Relativity,Action,Season Of The Witch,91.63
Independent,Drama,Shame,16.874
Relativity,Horror,Shark Night 3D,40.14
Warner Bros,Action,Sherlock Holmes 2,545.45
Independent,Romance,Something Borrowed,60.18
Sony,Drama,Soul Surfer,47.09
Summit Entertainment,Thriller,Source Code,147.33
Weinstein Company,Action,Spy Kids: All The Time in the World,85.56
Legendary Pictures,Action,Sucker Punch,89.79
Paramount,Horror,Super 8,260.1
Relativity,Comedy,Take Me Home Tonight,6.93
Independent,Drama,Take Shelter,3.13
Independent,Thriller,The Adjustment Bureau,127.87
Paramount,Adventure,The Adventures of Tintin,373.993
Weinstein Company,Drama,The Artist,133.432
Summit Entertainment,Drama,The Beaver,6.37
Independent,Comedy,The Big Year,7.45
Relativity Media,Comedy,The Change Up,75.45
Weinstein Company,Drama,The Company Men,4.88
Independent,Drama,The Conspirator,15.48
Universal,Thriller,The Debt,45.64
20th Century Fox,Drama,The Descendants,177.24
Spyglass Entertainment,Comedy,The Dilemma,69.72
Universal,Action,The Eagle,27.12
Sony,Thriller,The Girl With The Dragon Tattoo,232.161
Columbia,Action,The Green Hornet,227.82
Legendary Pictures,Comedy,The Hangover Part II,586.76
DreamWorks Pictures,Drama,The Help,216.64
Columbia,Thriller,The Ides of March,75.99
Weinstein Company,Drama,The Iron Lady,114.955
Lionsgate,Drama,The Lincoln Lawyer,75.01
Independent,Action,The Mechanic,51.07
Disney,Comedy,The Muppets,165.18
Warner Bros,Horror,The Rite,96.05
Independent,Horror,The Roommate,40.49
Independent,Drama,The Rum Diary,23.95
Fox,Comedy,The Sitter,34.941
Sony Pictures Animation,Animation,The Smurfs,563.75
Universal,Horror,The Thing,27.43
Independent,Action,The Three Musketeers,132.27
Independent,Drama,The Tree Of Life,54.3
Disney,Action,Thor,449.32
Focus,Thriller,Tinker Tailor Soldier Spy,80.63
Relativity,Comedy,Tower Heist,152.92
DreamWorks Pictures,Action,Transformers: Dark of the Moon,"1,123.79"
Independent,Romance,Twilight: Breaking Dawn,712.17
Independent,Thriller,Unknown,130.79
Disney,Drama,War Horse,177.584
Lionsgate,Action,Warrior,23.06
20th Century Fox,Drama,Water For Elephants,117.09
Fox,Comedy,We Bought a Zoo,120.081
20th Century Fox,Comedy,What's Your Number,30.43
