Studio,Genre,Film,Gross,,
Aardman Animations,Animation,Arthur Christmas,147.41,0.630361693,0.630361693
CBS,Romance,Beastly,43.17,0.184605619,0.184605619
Columbia,Drama,Moneyball,110.2,0.471242511,1.770409366
Columbia,Action,The Green Hornet,227.82,0.974214781,
Columbia,Thriller,The Ides of March,75.99,0.324952073,
Disney,Action,Captain America: The First Avenger,370.57,1.58464916,12.09363084
Disney,Animation,Gnomeo and Juliet,193.97,0.829463792,
Disney,Animation,Mars Needs Moms,38.99,0.166730903,
Disney,Action,"Pirates of the Caribbean:
On Stranger Tides","1,045.71",4.471715122,
Disney,Comedy,The Muppets,165.18,0.706350617,
Disney,Action,Thor,449.32,1.921403677,
Disney,Drama,War Horse,177.584,0.759393195,
Disney,Animation,Winnie The Pooh,33.15,0.141757616,
Disney,Action,X-Men: First Class,353.62,1.512166759,
DreamWorks,Horror,Fright Night,41,0.175326161,12.40701994
DreamWorks,Animation,Puss In Boots,554.99,2.373274785,
DreamWorks,Animation,Kung Fu Panda 2,665.69,2.84665542,
DreamWorks,Action,Real Steel,299.27,1.279752689,
DreamWorks,Drama,The Help,216.64,0.926406331,
DreamWorks,Action,Transformers: Dark of the Moon,"1,123.79",4.805604553,
Focus,Thriller,Tinker Tailor Soldier Spy,80.63,0.344793863,0.344793863
Fox,Comedy,Cedar Rapids,6.86,0.02933506,7.493961831
Fox,Comedy,Diary of a Wimpy Kid 2: Rodrick Rules,72.42,0.309685868,
Fox,Romance,Monte Carlo,39.67,0.169638752,
Fox,Comedy,Mr. Popper's Penguins,187.36,0.801197794,
Fox,Animation,Rio,484.63,2.072397988,
Fox,Action,Rise of the Planet of the Apes,481.74,2.060039631,
Fox,Drama,The Descendants,177.24,0.757922166,
Fox,Comedy,The Sitter,34.941,0.149416376,
Fox,Drama,Water For Elephants,117.09,0.500705859,
Fox,Comedy,We Bought a Zoo,120.081,0.513496116,
Fox,Comedy,What's Your Number,30.43,0.130126222,
Happy Madison,Comedy,Jack and Jill,149.68,0.640068776,2.285568942
Happy Madison,Romance,Just Go With It,214.95,0.919179472,
Happy Madison,Comedy,Zookeeper,169.85,0.726320695,
Independent,Comedy,30 Minutes or Less,40.55,0.17340185,9.681656013
Independent,Comedy,50/50,39.19,0.167586153,
Independent,Drama,A Dangerous Method,27.46,0.117425766,
Independent,Fantasy,Another Earth,1.77,0.007568959,
Independent,Comedy,Bad Teacher,216.2,0.924524782,
Independent,Comedy,Beginners,14.31,0.061193107,
Independent,Drama,Dolphin Tale,95.41,0.407996806,
Independent,Thriller,Drive,76.17,0.325721797,
Independent,Action,Drive Angry,28.93,0.12371185,
Independent,Horror,Dylan Dog: Dead of Night,4.63,0.019799027,
Independent,Action,Killer Elite,56.38,0.241094853,
Independent,Thriller,Margin Call,19.5,0.083386833,
Independent,Romance,One Day,59.39,0.253966359,
Independent,Horror,Paranormal Activity 3,207.04,0.885354351,
Independent,Horror,Red State,1.1,0.004703873,
Independent,Drama,Shame,16.874,0.072157406,
Independent,Romance,Something Borrowed,60.18,0.257344595,
Independent,Drama,Take Shelter,3.13,0.013384656,
Independent,Thriller,The Adjustment Bureau,127.87,0.54680381,
Independent,Comedy,The Big Year,7.45,0.031858046,
Independent,Drama,The Conspirator,15.48,0.066196316,
Independent,Action,The Mechanic,51.07,0.218387977,
Independent,Horror,The Roommate,40.49,0.173145275,
Independent,Drama,The Rum Diary,23.95,0.102416136,
Independent,Action,The Three Musketeers,132.27,0.565619301,
Independent,Drama,The Tree Of Life,54.3,0.232200257,
Independent,Romance,Twilight: Breaking Dawn,712.17,3.04541542,
Independent,Thriller,Unknown,130.79,0.559290454,
Legendary Pictures,Action,Sucker Punch,89.79,0.383964293,2.893095472
Legendary Pictures,Comedy,The Hangover Part II,586.76,2.509131179,
Lionsgate,Comedy,A Very Harold and Kumar Christmas,35.39,0.151336411,0.784092803
Lionsgate,Action,Conan the Barbarian,48.8,0.208680894,
